,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
755,756,1967,7.0,30.0,0.0,0.0,4.0,4,1,6.6,,,0,Venezuela,CARACAS,10.559,-67.33,0.08,1,,,,,,,,,,,,,,,,300.0,3.0,,,1536.0,3.0,140.0,4.0,,,,,
756,757,1967,8.0,13.0,22.0,15.0,10.0,4,1,6.4,,,0,Papua New Guinea,BISMARCKNanSEA,-4.4,152.5,0.1,1,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
757,758,1967,9.0,3.0,,,,2,1,7.0,,,0,Peru,CENTRALNanPERU,-10.6,-79.8,2.0,2,,1.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,PER
758,759,1967,10.0,,,,,0,8,,,,0,Usa,"GREWINGK,NanAK",59.621,-151.106,60.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
759,760,1967,11.0,15.0,21.0,31.0,54.0,1,1,5.9,,,0,Chile,NORTHERNNanCHILE,-28.78,-71.19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
760,761,1967,12.0,4.0,,,,1,6,,4412.0,,0,Antarctica,"TELEPHONENanBAY,NanDECEPCIONNanISLAND",-63.0,-60.5,1.0,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,ATA
761,762,1967,12.0,4.0,,,,0,9,,,,0,Usa Territory,NORTHERNNanCOASTNanOFNanPUERTONanRICO,,,,6,,,,,,,,,,,2.0,80.0,2.0,,,,,,,,,,2.0,80.0,2.0,,,
762,763,1967,12.0,21.0,2.0,25.0,23.0,3,1,7.5,,,0,Chile,NORTHERNNanCHILE,-21.7,-69.5,,1,,-0.5,0.0,,,,,,,,,,,,,1.0,1.0,,,,3.0,,2.0,,2.0,,,CHL
763,764,1968,1.0,29.0,10.0,19.0,7.2,4,1,7.3,,,0,Russia,S.NanKURILNanISLANDS,43.586,146.701,0.18,17,,-1.7,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
764,765,1968,2.0,19.0,22.0,45.0,45.7,4,1,7.2,,,0,Greece,"LEMNOSNanISLAND,NanNORTHNanAEGEANNanSEA",39.368,24.957,1.2,3,,0.3,3.0,,,,,,,,,,,,,20.0,1.0,,,18.0,1.0,0.6,1.0,500.0,3.0,1951.0,4.0,GRC
765,766,1968,4.0,1.0,0.0,42.0,4.2,4,1,7.5,,,0,Japan,SEIKAIDO,32.3,132.5,3.07,62,,1.3,1.0,,,,,,,,1.0,4.0,1.0,,,1.0,1.0,,,22.0,1.0,,2.0,,2.0,,,JPN
766,767,1968,4.0,18.0,19.0,38.0,15.0,3,1,4.6,,,0,Italy,LIGURIA-COTENanD'AZUR,44.08,8.0,3.0,1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,ITA
767,768,1968,5.0,4.0,,,,3,0,,,,0,Chile,EASTERNanISLANDNanREGION,-27.15,-109.45,,1,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,CHL
768,769,1968,5.0,16.0,0.0,48.0,55.4,4,1,8.2,,,1,Japan,OFFNanEASTNanCOASTNanOFNanHONSHUNanISLAND,40.8,143.2,6.0,329,,2.3,2.0,52.0,2.0,,,,1.0,,3.0,529.0,3.0,,,52.0,2.0,,,330.0,3.0,131.0,4.0,1218.0,4.0,,,JPN
769,770,1968,5.0,16.0,10.0,39.0,1.6,4,1,7.5,,,0,Japan,OFFNanCOASTNanOFNanHONSHUNanISLAND,41.5,142.7,0.58,8,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
770,771,1968,6.0,12.0,13.0,41.0,50.7,4,1,7.2,,,0,Japan,SANRIKU,39.4,143.1,0.95,28,,1.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
771,772,1968,7.0,25.0,7.0,23.0,7.8,2,1,7.3,,,0,New Zealand,KERMADECNanISLANDS,-30.8,-178.4,0.05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
772,773,1968,8.0,1.0,20.0,19.0,21.9,4,1,7.3,,,0,Philippines,E.NanLUZONNanISLAND,16.5,122.2,0.16,40,,-1.7,,1.0,1.0,,,,,,,,,,,270.0,3.0,,,261.0,3.0,8.0,3.0,,1.0,,3.0,PHL
773,774,1968,8.0,2.0,14.0,6.0,43.7,3,1,7.3,,,0,Mexico,ACAPULCO,16.519,-97.739,,1,,,,,,,,,,,,,,,,18.0,1.0,,,,,2.4,2.0,,,,,MEX
774,775,1968,8.0,5.0,7.0,17.0,0.0,1,1,6.5,,,0,Japan,SEIKAIDO-NANKAIDO,33.3,132.2,0.03,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
775,776,1968,8.0,10.0,2.0,7.0,4.3,4,1,7.6,,,0,Indonesia,N.NanMOLUCCASNanISLANDS,1.4,126.2,0.4,22,,-1.3,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,IDN
776,777,1968,8.0,14.0,22.0,14.0,19.4,4,1,7.8,,,0,Indonesia,BANDANanSEA,0.2,119.8,10.0,7,,3.3,2.5,200.0,3.0,,,58.0,2.0,,3.0,800.0,3.0,,,200.0,3.0,,,58.0,2.0,,3.0,800.0,3.0,,,IDN
777,778,1968,9.0,3.0,8.0,19.0,52.2,4,1,6.6,,,0,Turkey,BLACKNanSEA,41.8,32.3,3.0,2,,,,,,,,,,,,,,,,24.0,1.0,,,200.0,3.0,,3.0,2000.0,4.0,,,TUR
778,779,1968,9.0,20.0,6.0,0.0,5.0,2,1,6.5,,,0,Venezuela,CARUPANO,10.697,-62.748,,1,,,,,,,,,,,,,,,,3.0,1.0,,,,,,2.0,,,,,
779,780,1968,9.0,25.0,10.0,38.0,39.5,1,1,6.1,,,0,Mexico,S.NanMEXICO-GUATEMALA-NICARAGUA,15.573,-92.536,2.0,0,,,1.0,,,,,,,,,,,,,20.0,1.0,,,500.0,3.0,,2.0,,,,,MEX
780,781,1969,2.0,23.0,0.0,36.0,58.9,4,1,7.0,,,0,Indonesia,MAKASSARNanSTRAIT,-3.201,118.904,4.0,5,,2.0,2.0,600.0,3.0,,,,,,3.0,,3.0,,,664.0,3.0,,,97.0,2.0,,3.0,1287.0,4.0,,,IDN
781,782,1969,2.0,28.0,2.0,40.0,32.5,4,1,7.8,,,1,Portugal,PORTUGAL,36.017,-10.95,0.9,19,,,,,,,,,,,,,,,,25.0,1.0,,,80.0,2.0,,2.0,,3.0,,4.0,PRT
782,783,1969,3.0,21.0,,,,2,6,,777.0,,1,Philippines,LUZONNanISLAND,19.077,122.202,,1,,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,PHL
783,784,1969,3.0,31.0,,,,3,1,7.0,,,0,Egypt,GULFNanOFNanSUEZ,27.7,34.0,,1,,,,,,,,,,,,,,,,2.0,1.0,,,16.0,1.0,,3.0,107.0,3.0,,,EGY
784,785,1969,4.0,12.0,5.0,44.0,,0,8,,,,0,Sweden,NORSALVNanRIVER,59.4,13.5,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE
785,786,1969,4.0,21.0,7.0,19.0,,4,1,6.5,,,0,Japan,RYUKYUNanISLANDS,32.2,132.1,0.1,6,,-2.3,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,JPN
786,787,1969,7.0,17.0,5.0,,,4,0,,,,0,Atlantic Ocean,SOUTHWESTNanIBERIAN,28.25,-16.26,0.06,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,788,1969,7.0,18.0,5.0,24.0,50.0,4,1,7.4,,,0,China,BOHAINanSEA,38.2,119.4,0.1,3,,,,,,,,,,,,,,,,10.0,1.0,,,353.0,3.0,,4.0,15190.0,4.0,24810.0,4.0,CHN
788,789,1969,8.0,2.0,4.0,30.0,29.0,4,3,5.4,,,0,Papua New Guinea,BISMARCKNanSEA,-6.6,146.9,,1,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,PNG
789,790,1969,8.0,11.0,21.0,26.0,36.0,4,1,8.2,,,0,Russia,S.NanKURILNanISLANDS,43.6,147.9,5.0,75,,1.4,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
790,791,1969,8.0,27.0,1.0,30.0,,3,9,,,,0,South Africa,SOUTHNanAFRICA,,,2.9,15,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,ZAF
791,792,1969,11.0,22.0,23.0,9.0,37.0,4,1,7.7,,,8,Russia,KAMCHATKA,57.7,163.6,15.0,16,,3.9,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
792,793,1969,12.0,25.0,21.0,32.0,27.3,4,1,7.2,,,0,Guadeloupe (French Territory),GRANDNanBOURG,15.8,-59.7,0.23,3,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
793,794,1970,1.0,10.0,12.0,7.0,8.6,4,1,7.6,,,0,Philippines,PHILIPPINENanTRENCH,6.8,126.7,0.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHL
794,795,1970,3.0,11.0,22.0,38.0,34.6,4,1,6.0,,,0,Usa,"ANDREANOFNanISLANDS,NanAK",57.5,-153.9,0.03,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,USA
795,796,1970,4.0,7.0,5.0,34.0,5.6,3,1,7.3,,,0,Philippines,PHILIPPINENanSEA,15.78,121.71,,1,,1.0,1.0,,,,,,,,1.0,,,,,15.0,1.0,,,200.0,2.0,,2.0,,,,,PHL
796,797,1970,5.0,14.0,18.0,12.0,,3,1,6.5,,,0,Russia,CASPIANNanSEA,43.0,47.1,,0,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,2.0,,,
797,798,1970,5.0,31.0,20.0,23.0,27.3,4,1,7.9,,,0,Peru,N.NanPERU,-9.2,-78.8,0.46,15,,0.8,,,,,,,,,,,,,,66794.0,4.0,,,50000.0,4.0,530.0,4.0,,3.0,,,PER
798,799,1970,6.0,14.0,,,,2,1,6.0,,,0,Chile,SOUTHERNNanCHILE,-52.0,-73.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
799,800,1970,6.0,19.0,10.0,56.0,13.5,2,1,6.4,,,0,Chile,NORTHERNNanCHILE,-22.28,-70.55,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
800,801,1970,7.0,25.0,22.0,41.0,10.7,4,1,7.0,,,0,Japan,SEIKAIDO,32.2,131.7,0.32,35,,-0.7,,,,,,,,,,,,,,,,,,13.0,1.0,,1.0,,,,,JPN
801,802,1970,9.0,28.0,19.0,1.0,,2,1,5.1,,,0,New Zealand,NEWNanZEALAND,-44.64,173.62,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
802,803,1970,9.0,30.0,9.0,52.0,22.7,3,1,5.3,,,0,Philippines,PHILIPPINENanTRENCH,20.6,122.0,,1,,,0.5,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,PHL
803,804,1970,10.0,31.0,17.0,53.0,9.3,4,3,7.3,,,0,Papua New Guinea,PAPUANanNEWNanGUINEA,-4.907,145.471,3.0,3,,0.3,0.5,3.0,1.0,,,,,,,,,,,18.0,1.0,,,20.0,1.0,1.75,2.0,800.0,3.0,,,PNG
804,805,1970,11.0,28.0,11.0,8.0,40.0,2,1,6.0,,,0,Chile,NORTHERNNanCHILE,-20.94,-69.81,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
805,806,1970,12.0,4.0,1.0,59.0,25.0,4,1,5.1,,,0,Russia,BLACKNanSEA,43.84,39.34,0.8,1,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
806,807,1971,3.0,19.0,,,,0,8,,,,0,Peru,CHUNGAR,-11.116,-76.5,30.0,0,,,,600.0,3.0,,,,,,2.0,,2.0,,,600.0,3.0,,,,,,2.0,,2.0,,,PER
807,808,1971,5.0,2.0,6.0,8.0,27.8,4,1,7.1,,,0,Usa,"ANDREANOFNanISLANDS,NanAK",51.228,-177.173,0.04,1,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,USA
808,809,1971,7.0,9.0,3.0,3.0,18.7,4,1,7.8,,,0,Chile,CENTRALNanCHILE,-32.5,-71.2,0.6,1,,0.3,0.0,,,,,,,,,,,,,83.0,2.0,,,447.0,3.0,236.4,4.0,,3.0,,,CHL
809,810,1971,7.0,14.0,6.0,11.0,29.1,4,1,7.9,,,0,Papua New Guinea,SOLOMONNanSEA,-5.5,153.9,6.0,32,,1.6,1.0,1.0,1.0,,,,,,1.0,,,,,3.0,1.0,,,5.0,1.0,,1.0,,,,,PNG
810,811,1971,7.0,26.0,1.0,23.0,21.3,4,1,7.9,,,0,Papua New Guinea,SOLOMONNanSEA,-4.9,153.2,10.0,39,,3.3,1.5,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,PNG
811,812,1971,8.0,2.0,7.0,24.0,56.8,4,1,7.3,,,0,Japan,JAPANNanTRENCH,41.4,143.5,0.51,17,,-2.3,-0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,JPN
812,813,1971,9.0,5.0,18.0,35.0,25.0,4,1,7.1,,,0,Russia,TATARNanSTRAIT,46.5,141.2,2.0,29,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
813,814,1971,9.0,6.0,13.0,37.0,10.8,4,1,5.5,,,0,Russia,TATARNanSTRAIT,46.7,141.4,0.32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,815,1971,9.0,6.0,20.0,,,4,6,,2235.0,,1,Solomon Islands,"TINAKULA,NanSANTANanCRUZNanISLANDS",-10.38,165.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLB
815,816,1971,9.0,8.0,11.0,48.0,23.4,4,1,6.6,,,0,Russia,TATARNanSTRAIT,46.4,141.1,0.09,2,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
816,817,1971,9.0,8.0,16.0,59.0,52.6,4,1,6.2,,,0,Russia,TATARNanSTRAIT,46.3,140.9,0.07,1,,-0.7,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
817,818,1971,9.0,25.0,4.0,36.0,14.0,2,3,7.0,,,0,Papua New Guinea,BISMARCKNanSEA,-6.5,146.6,1.8,1,,0.8,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,PNG
818,819,1971,9.0,27.0,19.0,1.0,45.3,4,1,6.0,,,0,Russia,TATARNanSTRAIT,46.4,141.1,0.03,1,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,
819,820,1971,11.0,6.0,22.0,0.0,0.1,2,1,5.7,,,0,Usa,"RATNanISLANDS,NanALEUTIANNanISLANDS,NanAK",51.5,179.1,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
820,821,1971,12.0,15.0,8.0,29.0,55.3,4,1,7.8,,,3,Russia,KAMCHATKA,56.0,163.3,0.47,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,822,1972,1.0,25.0,2.0,6.0,23.3,4,1,7.5,,,0,Taiwan,E.NanTAIWAN,22.5,122.3,0.05,2,,-1.0,-2.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,5.0,1.0,,,
822,823,1972,2.0,29.0,9.0,22.0,59.8,4,1,7.4,,,0,Japan,EASTNanOFFNanHACHIJONanISLAND,33.3,140.8,0.42,28,,-1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,JPN
823,824,1972,6.0,8.0,18.0,53.0,41.7,2,1,6.6,,,0,Chile,CENTRALNanCHILE,-30.5,-71.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
824,825,1972,7.0,30.0,21.0,45.0,14.1,4,3,7.6,,,0,Usa,"SE.NanALASKA,NanAK",56.82,-135.685,0.1,3,,-2.3,-2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,USA
825,826,1972,8.0,17.0,23.0,44.0,5.9,4,1,7.1,,,0,Papua New Guinea,SOLOMONNanSEA,-6.0,152.9,0.6,1,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
826,827,1972,8.0,26.0,8.0,15.0,,3,8,,,,0,Papua New Guinea,SOLOMONNanSEA,-6.7,147.0,1.5,2,,0.6,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,PNG
827,828,1972,9.0,6.0,11.0,42.0,23.9,-1,1,5.2,,,0,Japan,JAPAN,32.9,130.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
828,829,1972,10.0,9.0,,,,2,6,,4704.0,,1,Papua New Guinea,"RITTERNanISLAND,NanPAPUANanNEWNanGUINEA",-5.52,148.121,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
829,830,1972,12.0,2.0,0.0,19.0,47.2,2,1,7.4,,,0,Philippines,"MINDANAONanISLAND,NanPHILIPPINES",6.5,126.6,0.5,32,,-2.3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,PHL
830,831,1972,12.0,4.0,10.0,16.0,12.0,4,1,7.4,,,0,Japan,CHICHINanJIMA,33.3,140.7,0.5,39,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,JPN
831,832,1972,12.0,29.0,4.0,51.0,1.6,2,1,5.4,,,0,Chile,CENTRALNanCHILE,-30.6,-71.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
832,833,1973,1.0,30.0,21.0,1.0,12.5,4,1,7.5,,,0,Mexico,S.NanMEXICO,18.48,-103.0,1.13,9,,0.1,,,,,,,,,,,,,,56.0,2.0,,,390.0,3.0,,2.0,,2.0,,,MEX
833,834,1973,2.0,28.0,6.0,37.0,49.5,4,1,7.2,,,0,Russia,N.NanKURILNanISLANDS,50.5,156.6,1.5,7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
834,835,1973,3.0,17.0,8.0,30.0,51.8,4,1,7.5,,,0,Philippines,QUEZON,13.4,122.8,1.3,2,,,,,,,,,,,,,,,,15.0,1.0,,,64.0,2.0,0.45,1.0,,,,,PHL
835,836,1973,6.0,17.0,3.0,55.0,2.9,4,1,7.7,,,0,Japan,HOKKAIDONanISLAND,43.2,145.8,5.96,72,,2.2,1.0,,,,,,1.0,5.0,2.0,2.0,1.0,,,,,,,27.0,1.0,5.0,2.0,2.0,1.0,,,JPN
836,837,1973,6.0,24.0,2.0,43.0,25.5,4,1,7.1,,,0,Russia,S.NanKURILNanISLANDS,43.3,146.4,0.64,32,,2.2,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
837,838,1973,6.0,26.0,22.0,32.0,0.2,4,1,6.6,,,0,Russia,S.NanKURILNanISLANDS,43.2,146.6,0.21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,839,1973,10.0,5.0,5.0,47.0,51.1,4,1,6.7,,,0,Chile,CENTRALNanCHILE,-32.5,-71.5,0.2,1,,-1.3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,CHL
839,840,1973,12.0,,,,,1,6,,445.0,,0,Indonesia,LESSERNanSUNDANanISLANDS,-8.54,123.59,,0,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,IDN
840,841,1974,1.0,31.0,23.0,30.0,5.3,4,1,7.0,,,0,Solomon Islands,SOLOMONNanISLANDS,-7.5,155.9,1.5,2,,2.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,SLB
841,842,1974,2.0,1.0,3.0,12.0,33.1,4,1,7.1,,,0,Solomon Islands,SOLOMONNanISLANDS,-7.4,155.6,4.5,4,,2.2,2.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,SLB
842,843,1974,5.0,8.0,23.0,33.0,25.2,4,1,6.7,,,0,Japan,TOKAIDO,34.6,138.7,0.2,5,,-2.3,-2.5,,,,,,,,,,,,,30.0,1.0,,,137.0,3.0,,2.0,134.0,3.0,,,JPN
843,844,1974,8.0,18.0,10.0,44.0,12.8,1,1,7.1,,,0,Chile,SOUTHERNNanCHILE,-38.5,-73.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
844,845,1974,9.0,27.0,5.0,47.0,29.4,4,1,6.7,,,0,Russia,S.NanKURILNanISLANDS,43.2,146.7,0.37,3,,0.6,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
845,846,1974,10.0,3.0,14.0,21.0,29.1,4,1,8.1,,,0,Peru,CENTRALNanPERU,-12.27,-77.79,0.92,35,,0.8,1.0,,,,,,,,,,,,,78.0,2.0,,,2414.0,4.0,10.0,3.0,,3.0,,,PER
846,847,1974,10.0,17.0,19.0,5.0,,4,8,,,,0,Canada,"KITIMATNanINLET,NanBRITISHNanCOLOMBIA",54.0,-128.7,2.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN
847,848,1974,10.0,17.0,,,,4,6,,4683.0,,1,Papua New Guinea,"RITTERNanISLAND,NanPAPUANanNEWNanGUINEA",-5.52,148.121,0.5,2,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
848,849,1974,12.0,28.0,12.0,11.0,43.7,0,1,6.2,,,0,Pakistan,PAKISTAN,35.1,72.9,,0,,,,,,,,,,,,,,,,5300.0,4.0,,,17000.0,4.0,3.255,2.0,,3.0,,,PAK
849,850,1975,1.0,15.0,9.0,42.0,24.0,1,1,5.9,,,0,Indonesia,BANDANanSEA,-5.0,130.0,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,81.0,2.0,,,IDN
850,851,1975,3.0,13.0,15.0,26.0,42.5,1,1,6.9,,,0,Chile,CENTRALNanCHILE,-29.9,-71.3,,0,,,,,,,,,,,,,,,,2.0,1.0,,,25.0,1.0,,1.0,,,,,CHL
851,852,1975,4.0,27.0,18.0,5.0,,4,8,,,,0,Canada,"KITIMATNanINLET,NanBRITISHNanCOLUMBIA",53.98,-128.68,4.1,5,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,CAN
852,853,1975,5.0,26.0,9.0,11.0,51.1,4,1,7.8,,,0,Atlantic Ocean,AZORESNanGIBRALTARNanFRACTURENanZONE,35.962,-17.576,0.5,8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
853,854,1975,6.0,10.0,13.0,47.0,14.5,4,1,7.0,,,0,Russia,S.NanKURILNanISLANDS,43.024,147.734,5.5,52,,2.3,2.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,
854,855,1975,7.0,20.0,14.0,37.0,39.9,4,1,7.9,,,0,Papua New Guinea,SOLOMONNanSEA,-6.59,155.054,2.0,18,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,3.0,,2.0,,,PNG
855,856,1975,10.0,31.0,8.0,28.0,2.6,4,1,7.6,,,0,Philippines,PHILIPPINENanTRENCH,12.54,125.993,3.0,28,,-0.7,-1.5,1.0,1.0,,,,,,1.0,30.0,1.0,,,1.0,1.0,,,,,,1.0,30.0,1.0,,,PHL
856,857,1975,11.0,29.0,14.0,47.0,40.9,4,3,7.7,3407.0,,1,Usa,HAWAII,19.451,-155.033,14.3,77,,3.0,3.0,2.0,1.0,,,19.0,1.0,1.5,2.0,,,,,2.0,1.0,,,19.0,1.0,4.0,2.0,,,,,USA
857,858,1975,12.0,16.0,21.0,1.0,39.0,3,3,4.9,,,0,Fiji,FIJINanISLANDS,-18.672,178.464,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJI
858,859,1975,12.0,26.0,15.0,56.0,38.7,4,1,7.8,,,0,Samoa,SAMOANanISLANDS,-16.265,-172.467,0.38,3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,WSM
859,860,1976,1.0,14.0,16.0,47.0,33.5,4,1,8.0,,,0,New Zealand,KERMADECNanISLANDS,-28.427,-177.657,0.9,15,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
860,861,1976,1.0,21.0,10.0,5.0,24.1,4,1,7.0,,,0,Russia,S.NanKURILNanISLANDS,44.915,149.123,0.38,5,,-1.3,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
861,862,1976,2.0,4.0,9.0,1.0,43.4,4,1,7.5,,,0,Guatemala,GUATEMALA,15.324,-89.101,0.12,1,,-0.5,,,,,,,,,,,,,,23000.0,4.0,,,76000.0,4.0,2147.0,4.0,255000.0,4.0,,4.0,GTM
862,863,1976,7.0,11.0,16.0,54.0,31.8,1,1,6.7,,,0,Panama,PANAMA,7.4,-78.1,,0,,-1.0,,,,,,,,,,,,,,5.0,1.0,,,7.0,1.0,,1.0,,,,,PAN
863,864,1976,8.0,16.0,16.0,11.0,7.3,4,1,8.0,,,0,Philippines,MORONanGULF,6.292,124.09,9.0,28,,2.3,2.5,6800.0,4.0,,,6500.0,4.0,134.0,4.0,,,,,8000.0,4.0,,,10000.0,4.0,134.0,4.0,,,,,PHL
864,865,1977,4.0,2.0,7.0,15.0,22.7,4,1,7.6,,,0,Samoa,SAMOANanISLANDS,-16.696,-172.095,0.08,2,,-3.3,-2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,WSM
865,866,1977,4.0,20.0,23.0,13.0,10.4,4,1,6.8,,,0,Solomon Islands,SOLOMONNanISLANDS,-9.828,163.323,0.15,6,,-3.3,-1.0,,,,,,,,,,,,,34.0,1.0,,,,,,3.0,,,,,SLB
866,867,1977,4.0,20.0,23.0,42.0,50.5,4,1,7.6,,,0,Solomon Islands,SOLOMONNanISLANDS,-9.89,160.348,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,SLB
867,868,1977,4.0,21.0,4.0,24.0,9.6,4,1,8.1,,,0,Solomon Islands,SOLOMONNanISLANDS,-9.965,160.731,0.04,5,,-3.3,-1.5,,,,,,,,,,,,,18.0,1.0,,,1.0,1.0,,3.0,,,,,SLB
868,869,1977,6.0,22.0,12.0,8.0,33.4,4,1,7.2,,,0,Tonga,TONGANanTRENCH,-22.878,-175.9,0.4,19,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,1.0,1.2,2.0,,,,,TON
869,870,1977,8.0,19.0,6.0,8.0,55.0,4,1,8.3,,,0,Indonesia,SUNDANanISLANDS,-11.164,118.378,15.0,16,,3.9,3.0,189.0,3.0,,,75.0,2.0,1.2,2.0,,,,,189.0,3.0,,,75.0,2.0,1.2,2.0,,,,,IDN
870,871,1977,8.0,20.0,,,,-1,1,5.5,,,0,Papua New Guinea,ADMIRALTYNanISLANDS,-1.1,146.2,0.5,0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,PNG
871,872,1977,8.0,28.0,20.0,10.0,5.0,2,1,5.5,,,0,Papua New Guinea,ADMIRALTYNanISLANDS,-1.081,146.23,0.6,1,,-0.7,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,PNG
872,873,1977,10.0,10.0,11.0,53.0,53.6,2,1,7.2,,,0,Tonga,TONGANanTRENCH,-25.856,-175.406,0.03,2,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,TON
