,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
34,35,1903,7.0,16.0,,,,1,1,,,,0,Mexico,S.NanMEXICO,16.7,-99.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX
35,36,1903,8.0,,,,,2,6,,,,0,Usa,"COOKNanINLET,NanAK",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
36,37,1903,9.0,7.0,,,,1,1,,,,0,Taiwan,TAIWAN,,,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,1903,9.0,26.0,,,,2,1,,,,0,Chile,NORTHERNNanCHILE,-20.2,-70.15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL
38,39,1903,10.0,6.0,6.0,30.0,,-1,9,,,,0,Usa,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
39,40,1903,10.0,8.0,,,,-1,9,,,,0,Usa,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
40,41,1903,10.0,20.0,,,,3,0,,,,0,Canada,"BLACKLEADNanISLAND,NanCUMBERLANDNanSOUND",64.98,-66.2,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,CAN
41,42,1903,11.0,17.0,,,,1,9,,,,0,Usa,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
42,43,1903,11.0,24.0,,,,4,9,,,,0,Usa,HAWAII,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
43,44,1903,11.0,29.0,,,,0,9,,,,0,Usa,HAWAII,,,15.7,3,,3.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,USA
44,45,1903,12.0,7.0,14.0,25.0,,3,1,6.5,,,0,Chile,NORTHERNNanCHILE,-28.5,-71.0,,1,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,2.0,,,CHL
45,46,1904,1.0,20.0,14.0,52.0,6.0,1,1,7.9,,,0,Colombia,OFFNanTHENanCOASTNanPANAMA-COLOMBIA,7.0,-79.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL
46,47,1904,2.0,2.0,,,,2,0,,,,0,Indonesia,CELEBESNanSEA,1.5,120.8,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,IDN
47,48,1904,3.0,30.0,,,,-1,9,,,,0,Usa,WASHINGTON-OREGON,,,,5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,USA
48,49,1904,6.0,25.0,14.0,45.0,36.0,4,1,8.3,,,0,Russia,"KAMCHATKANanPENINSULA,NanRUSSIA",52.0,159.0,,1,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,1904,6.0,25.0,21.0,0.0,36.0,3,1,8.1,,,0,Russia,"KAMCHATKANanPENINSULA,NanRUSSIA",52.0,159.0,,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,1904,7.0,5.0,,,,1,1,,,,0,Indonesia,BANDANanSEA,-3.6,128.7,,1,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,IDN
51,52,1904,8.0,8.0,22.0,50.0,0.0,1,1,7.2,,,0,New Zealand,CAPENanTURNAGAIN,-40.4,176.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
52,53,1904,8.0,25.0,10.0,0.0,,1,2,,,,0,New Zealand,NEWNanZEALAND,-39.12,177.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL
53,54,1904,9.0,7.0,,,,1,1,,,,0,Indonesia,S.NanJAVA,-7.7,109.0,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,IDN
54,55,1904,12.0,20.0,5.0,44.0,18.0,2,1,7.2,,,0,Panama,BOCASNanDELNanTORO,9.2,-82.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAN
55,56,1904,12.0,30.0,,,,-1,0,,,,0,Cook Islands,COOKNanIS.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COK
56,57,1905,1.0,16.0,,,,0,8,,,,0,Norway,LOEN,61.866,6.85,40.5,4,,,,61.0,2.0,,,,,,2.0,,2.0,,,61.0,2.0,,,,,,2.0,,2.0,,,NOR
57,58,1905,1.0,20.0,2.0,32.0,30.0,2,1,6.3,,,0,Greece,AEGEANNanSEA,39.66,22.83,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRC
58,59,1905,1.0,20.0,18.0,23.0,,3,1,6.8,,,0,Costa Rica,GULFNanOFNanNICOYA,9.85,-84.68,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,CRI
