,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,MaximumNanWaterNanHeightNan(m),TotalNanDeaths,TsunamiNanIntensity,NumberNanofNanRunups
418,1,7.9,,,0.5,1
419,8,,62.3,41.0,,12
420,1,,,,,0
421,1,7.7,,,1.5,2
422,1,7.8,0.65,,,3
423,1,7.2,,,,3
424,9,,12.0,,3.0,9
425,1,7.0,0.11,,,1
426,1,6.9,,,,1
427,1,,,,,1
428,3,6.4,,5.0,2.0,0
429,1,7.5,,60000.0,,0
430,1,6.5,0.2,,,1
431,9,,,,,0
432,1,7.8,,,,1
433,1,7.2,0.3,,-1.0,8
434,1,7.0,0.2,,-2.0,2
435,9,,,,2.0,1
436,1,6.5,,,,0
437,1,6.0,,100.0,,1
438,1,7.9,,,,0
439,9,,,,,0
440,0,,,,,1
441,1,7.7,3.0,,2.0,2
442,1,7.3,1.0,1.0,0.5,3
443,1,7.3,,9.0,,0
444,8,,74.0,73.0,,5
445,8,,149.35,,4.0,1
446,1,7.7,0.7,,,11
447,1,7.3,13.0,,2.0,1
448,0,,2.2,,,2
449,6,,2.5,507.0,1.5,4
450,1,7.5,,1.0,1.0,2
451,1,5.7,,,1.0,0
452,0,5.8,,,1.0,0
453,0,5.8,,,,0
454,1,6.0,0.5,,,1
455,6,,,,,1
456,1,8.6,1.0,,1.5,5
457,0,,,5.0,,2
458,1,6.0,0.5,,-0.5,1
459,1,,0.03,,,1
460,1,6.3,,,,1
461,8,,,,2.0,0
462,1,7.5,,,,1
463,1,7.6,3.0,17.0,,6
464,1,7.1,0.83,,,7
465,1,6.1,0.9,1.0,,2
466,1,7.6,1.5,,0.0,1
467,9,,,5.0,,0
468,9,,,,,1
469,1,7.7,0.57,1.0,-0.5,17
470,1,7.6,0.56,,-0.5,12
471,1,7.5,1.26,,-0.5,15
472,1,7.1,1.25,,-0.5,11
473,1,6.5,,,,0
474,1,8.2,0.3,,,9
475,1,6.0,0.75,,-1.5,7
476,1,6.9,,,,0
477,1,6.9,0.3,,-2.5,4
478,1,7.0,0.2,,-3.0,9
479,1,8.3,,30000.0,,0
480,1,,,,2.0,0
481,1,7.7,,5.0,1.0,3
482,1,6.6,0.8,1.0,0.0,4
483,1,7.4,,,,0
484,1,7.9,10.5,12.0,1.5,8
485,1,7.0,1.2,27.0,0.0,25
486,1,6.5,,,0.5,1
487,1,6.7,0.2,,1.0,2
488,1,6.4,,22.0,,2
489,6,,2.0,,,3
490,1,5.6,,,,1
491,1,8.0,,,,2
492,1,7.8,0.53,32700.0,4.0,11
493,1,5.1,,,3.0,0
494,1,8.2,2.0,179.0,1.5,5
495,1,7.5,5.0,10.0,1.5,62
496,8,,,,2.0,0
497,1,7.3,,,,0
498,1,7.0,,,,0
499,1,7.4,0.15,4.0,-2.5,3
500,1,6.0,,,2.0,1
501,1,6.6,,,,3
502,1,,,,2.0,0
503,1,8.0,1.5,,,2
504,8,,6.0,,,2
505,1,7.4,1.2,2.0,0.0,11
506,1,7.8,0.23,,2.0,14
507,1,7.6,0.21,6.0,-3.0,5
508,1,6.9,0.12,,-4.0,1
509,1,5.8,1.0,,1.0,1
510,0,,3.0,,,2
511,3,8.2,2.0,30.0,1.0,3
512,1,8.2,1.0,11.0,,12
513,1,7.1,0.6,,-0.5,1
514,8,,9.14,,,1
515,7,,,,4.0,2
516,9,,,,,1
517,1,6.7,,30.0,2.0,1
518,1,8.1,10.0,1223.0,2.5,156
519,0,,,,,1
520,1,7.1,1.0,2306.0,-0.5,7
521,1,7.3,0.4,2.0,-1.5,1
522,3,8.0,17.0,300.0,,58
523,3,8.6,42.0,168.0,4.0,621
524,3,7.3,9.0,,2.0,5
525,1,7.9,,2.0,9.0,0
526,1,7.9,5.0,1790.0,,8
527,1,7.5,0.6,75.0,,13
528,1,7.0,,,,0
529,1,7.0,,,,1
530,6,,,,,0
531,1,8.3,6.6,1362.0,2.5,304
532,9,,,,0.0,0
533,3,7.1,10.0,,3.0,10
534,1,6.9,6.0,,,5
535,3,7.3,1.0,3.0,2.0,1
536,1,7.0,2.0,,1.0,4
537,1,7.8,,74.0,1.5,5
538,1,7.3,7.3,,4.0,11
539,1,7.2,0.6,,-1.0,3
540,1,6.5,1.0,7.0,4.0,1
541,1,6.0,3.0,,,1
542,1,6.3,,,0.0,1
543,1,7.8,0.1,,1.5,6
544,1,6.9,5.0,4.0,1.5,1
545,1,7.0,,,0.0,1
546,1,5.9,,,,1
547,1,,,,,0
548,3,7.0,,8.0,,1
549,8,,2.4,,,1
550,1,7.3,,,,0
551,1,6.7,,,,0
552,1,6.5,2.0,7.0,2.0,4
553,8,,19.81,,,1
554,3,8.1,0.61,,,9
555,1,6.4,0.1,,-4.0,1
556,1,6.7,,,,1
557,1,7.5,0.3,,-1.0,5
558,1,7.8,,1.0,,0
559,1,7.8,,3.0,,2
560,1,7.2,,16.0,1.5,2
561,1,7.0,,,,0
562,1,5.8,,,0.0,1
563,1,,,,,1
564,1,6.4,,100.0,,1
565,1,8.6,0.5,1530.0,,41
566,1,7.7,2.0,,-2.0,11
567,1,7.6,,1.0,2.0,2
568,8,,,,,0
569,1,7.5,0.2,,-1.0,5
570,1,7.3,1.2,,,2
571,1,7.8,2.5,,,5
572,1,7.0,0.7,4.0,0.0,1
573,1,7.5,0.3,,,2
574,1,6.1,6.0,,,1
575,8,,3.0,,,1
576,3,6.0,,,,1
577,1,6.9,3.6,,0.5,7
578,1,7.3,0.3,68.0,,2
579,1,6.3,2.0,,,1
580,6,,,,,0
581,8,,2.0,,2.0,0
582,1,8.1,6.54,33.0,2.0,219
583,1,7.0,0.3,,-2.0,4
584,1,4.5,3.0,,0.0,2
585,1,7.8,0.33,,,5
586,8,,19.81,,,1
587,9,,1.52,,,3
588,1,6.4,0.07,,-3.0,2
589,1,6.8,,,,2
590,6,,0.15,,-1.0,1
591,6,,0.05,,-1.0,1
592,6,,0.15,31.0,,1
593,6,,0.1,,-1.0,2
594,8,,,,,1
595,1,9.0,23.0,10000.0,4.0,328
596,8,,2.5,1.0,,2
597,8,,,,,1
598,1,5.5,0.7,,,1
599,8,,4.8,,,1
600,6,,6.0,,-1.0,2
601,1,5.8,3.0,,,1
602,6,,0.05,,-1.0,1
603,1,7.4,,,0.0,2
604,1,7.6,,9.0,,0
605,1,7.2,0.06,,,1
606,6,,,,1.0,1
607,1,6.8,1.0,,,1
608,1,7.2,,476.0,,2
609,8,,,,,1
610,1,6.3,,40.0,2.0,2
611,3,6.4,15.0,7.0,1.0,31
612,0,,2.4,1.0,,1
613,1,7.4,3.0,1.0,1.5,33
614,1,7.4,1.0,6.0,0.5,2
615,9,,1.0,,,1
616,1,7.3,,,,1
617,6,,,,4.0,4
618,9,,3.0,7.0,,5
619,3,6.7,0.33,1243.0,,4
620,0,,18.28,,,1
621,1,6.1,,,-1.0,3
622,1,5.5,,,,1
623,1,6.2,,8.0,,1
624,1,7.1,1.0,1.0,1.0,7
625,1,7.3,,,,0
626,1,6.5,,,,1
627,1,6.8,1.0,,,0
628,1,7.3,,,,1
629,1,7.1,,,,0
